40
-31 -67 8 92 57 -50 -88 35 18 2 -44 -87 -91 62 -59 -50 -77 70 6 65 -94 75 -77 20 53 94 -13 -68 -10 -14 29 -27 -100 3 -74 17 53 -40 98 -86
-27 -91 -23 -92 -40 15 -19 -89 -99 -55 11 -6 79 -63 32 -27 -14 -39 -17 -49 -90 -92 -93 41 -65 57 81 17 -55 -77 -59 -93 65 49 -17 -18 78 -22 -29 -45
-31 -14 1 6 -77 -41 -12 -6 40 0 -88 61 49 52 -58 34 -51 -29 12 32 8 37 -54 25 51 -6 -86 96 -32 -84 77 -100 -46 -40 6 -11 -7 -4 82 91
93 -52 6 -61 63 -84 56 34 23 -4 82 -7 48 6 -67 -54 88 81 -100 -24 -57 100 9 -84 -88 -19 -85 43 64 -2 -40 -97 -33 87 -57 96 -95 -36 31 41
18 93 -69 93 -64 73 83 -47 54 -59 26 -92 86 2 55 -30 59 -24 -65 -72 63 13 41 77 85 89 -33 -84 -59 -94 -94 -71 53 -28 -26 73 -89 -93 78 100
80 97 -29 -41 62 68 -21 -49 -58 -98 -20 65 -16 5 -7 14 -18 -61 99 47 73 -7 39 80 -49 -46 76 -56 96 92 16 55 90 -48 -38 80 34 -52 -85 54
-91 -86 -32 -58 83 26 96 71 25 -68 28 -9 -34 34 -97 37 27 36 90 -94 41 46 67 -82 -6 -32 45 74 35 -80 -15 -17 -98 -11 -12 67 26 24 -38 -47
91 31 -89 -92 -62 72 48 -76 51 -87 -41 -54 -9 -37 93 6 -91 -70 57 -27 -47 -97 64 13 -49 -21 -32 -33 -34 19 68 -6 -100 57 -24 -44 -32 -66 -83 51
-47 61 -88 100 -62 72 97 -67 41 -96 7 15 72 -30 -82 -26 3 -47 -55 -51 -35 -40 59 -20 96 -12 47 51 -56 66 49 -7 -42 65 -98 -42 -83 -13 -47 -55
55 -100 63 -42 57 58 75 41 -6 73 -46 21 38 -26 68 -10 51 14 44 -39 -37 -20 -7 -31 -5 -47 24 80 96 27 64 -38 54 69 -24 -68 -44 -13 -11 95
-42 8 -91 -76 0 -3 11 -13 37 -56 63 -90 -23 53 -41 -71 -28 -79 57 50 -54 74 -71 -49 -94 -72 -59 46 -53 70 -84 -67 -37 -90 21 -33 36 87 -75 88
-87 -57 -79 -92 -25 -73 -66 17 -17 -20 -93 -39 -57 95 -26 -37 -69 31 -11 -1 16 -40 -86 -87 -14 87 49 -39 -97 -43 -41 74 99 39 60 -64 76 -84 8 -6
-56 8 -75 -32 -39 -93 -12 -1 75 -58 -83 -48 -64 -97 63 -60 -10 -73 23 -41 86 82 -14 44 -82 57 -98 88 -1 25 -85 -71 73 -53 52 37 -86 -7 82 -62
-84 54 -88 -4 -30 56 28 24 58 -23 -97 -10 50 -2 93 65 -49 51 -66 -36 51 -50 43 -54 -57 -18 34 -32 -94 -5 -51 -43 -95 27 4 -5 -17 43 59 78
-94 92 -84 -98 -29 -37 11 -10 -94 -30 44 -98 -70 -62 -73 21 54 92 -6 11 100 71 50 79 -89 -67 39 -91 -68 -70 -51 -88 -8 -73 3 48 -44 -18 -8 8
-43 -74 28 -46 -30 -50 -44 -51 78 57 87 32 22 -57 -16 79 -98 41 16 -22 -83 -71 -32 32 -90 -18 45 -6 53 2 74 -21 76 -1 -89 40 -42 -73 -47 89
-21 -84 -40 49 -93 60 -94 -60 -39 -92 28 -82 -77 47 -40 -63 -24 -61 10 -74 -57 -33 2 71 -22 52 58 83 -51 -75 -38 -92 87 87 -39 -37 17 0 -41 -27
-94 99 49 50 64 -24 -92 50 -13 -87 25 9 77 -95 8 63 -57 -42 -79 -81 2 -91 64 51 100 -85 -23 15 -69 94 -17 -3 80 -24 -33 48 -19 3 40 -29
-42 7 -24 55 -68 20 77 -34 48 -89 45 82 -74 85 9 -95 -51 -78 62 25 -92 -84 34 -69 -76 0 90 24 76 32 -81 -8 -61 -48 -20 77 -7 -74 -76 -86
84 16 16 -23 -43 24 -21 72 74 -76 -94 14 -74 -19 -26 -74 -51 10 -9 -21 39 -16 98 -51 -9 -48 98 -16 -25 -29 -27 15 -81 52 80 18 -43 -8 38 -32
